ticker,name,listed,asset_class,country,datasource,datasource_ticker
AEDRUB=X,AED/RUB,TRUE,currency,n/a,yfinance,AEDRUB=X
AUDBHD=X,AUD/BHD,TRUE,currency,n/a,yfinance,AUDBHD=X
AEDPLN=X,AED/PLN,TRUE,currency,n/a,yfinance,AEDPLN=X
EURKES=X,EUR/KES,TRUE,currency,n/a,yfinance,EURKES=X
AEDGBP=X,AED/GBP,TRUE,currency,n/a,yfinance,AEDGBP=X
HU22.EX,,TRUE,currency,n/a,yfinance,HU22.EX
AUDDOP=X,AUD/DOP,TRUE,currency,n/a,yfinance,AUDDOP=X
HU52.EX,,TRUE,currency,n/a,yfinance,HU52.EX
HF32.EX,,TRUE,currency,n/a,yfinance,HF32.EX
AUDSGD=X,AUD/SGD,TRUE,currency,n/a,yfinance,AUDSGD=X
EURBZD=X,EUR/BZD,TRUE,currency,n/a,yfinance,EURBZD=X
EUR-HRK.F,EUR/HRK,TRUE,currency,n/a,yfinance,EUR-HRK.F
EUR-LBP.F,EUR-LBP.F,TRUE,currency,n/a,yfinance,EUR-LBP.F
AUDUYU=X,AUD/UYU,TRUE,currency,n/a,yfinance,AUDUYU=X
AUDMUR=X,AUD/MUR,TRUE,currency,n/a,yfinance,AUDMUR=X
AUHOE.SW,,TRUE,currency,n/a,yfinance,AUHOE.SW
EUR-KES.F,EUR-KES.F,TRUE,currency,n/a,yfinance,EUR-KES.F
AEDILS=X,AED/ILS,TRUE,currency,n/a,yfinance,AEDILS=X
EURKZT=X,EUR/KZT,TRUE,currency,n/a,yfinance,EURKZT=X
AUDERN=X,AUD/ERN,TRUE,currency,n/a,yfinance,AUDERN=X
IACWE.NX,,TRUE,currency,n/a,yfinance,IACWE.NX
EURTRY=X,EUR/TRY,TRUE,currency,n/a,yfinance,EURTRY=X
AUDLTL=X,AUD/LTL,TRUE,currency,n/a,yfinance,AUDLTL=X
ARSUYU=X,ARS/UYU,TRUE,currency,n/a,yfinance,ARSUYU=X
C3AR.EX,,TRUE,currency,n/a,yfinance,C3AR.EX
EURCOP=X,EUR/COP,TRUE,currency,n/a,yfinance,EURCOP=X
AOAUSD=X,AOA/USD,TRUE,currency,n/a,yfinance,AOAUSD=X
AFNCHF=X,AFN/CHF,TRUE,currency,n/a,yfinance,AFNCHF=X
AUDCNH=X,AUD/CNH,TRUE,currency,n/a,yfinance,AUDCNH=X
ARSPEN=X,ARS/PEN,TRUE,currency,n/a,yfinance,ARSPEN=X
EUR-BMD.F,EUR-BMD.F,TRUE,currency,n/a,yfinance,EUR-BMD.F
11150067.DE,,TRUE,currency,n/a,yfinance,11150067.DE
ARSCHF=X,ARS/CHF,TRUE,currency,n/a,yfinance,ARSCHF=X
AZN=X,USD/AZN,TRUE,currency,n/a,yfinance,AZN=X
AUDAED=X,AUD/AED,TRUE,currency,n/a,yfinance,AUDAED=X
AUDMYR=X,AUD/MYR,TRUE,currency,n/a,yfinance,AUDMYR=X
AUDNOK=X,AUD/NOK,TRUE,currency,n/a,yfinance,AUDNOK=X
29134330=X,,TRUE,currency,n/a,yfinance,29134330=X
EURBWP=X,EUR/BWP,TRUE,currency,n/a,yfinance,EURBWP=X
AUDBZD=X,AUD/BZD,TRUE,currency,n/a,yfinance,AUDBZD=X
ARSBRL=X,ARS/BRL,TRUE,currency,n/a,yfinance,ARSBRL=X
ANGGBP=X,ANG/GBP,TRUE,currency,n/a,yfinance,ANGGBP=X
EUR-BOB.F,EUR-BOB.F,TRUE,currency,n/a,yfinance,EUR-BOB.F
EUR-UYU.F,EUR-UYU.F,TRUE,currency,n/a,yfinance,EUR-UYU.F
AUDSAR=X,AUD/SAR,TRUE,currency,n/a,yfinance,AUDSAR=X
AZNGBP=X,AZN/GBP,TRUE,currency,n/a,yfinance,AZNGBP=X
AUDLKR=X,AUD/LKR,TRUE,currency,n/a,yfinance,AUDLKR=X
AEDLKR=X,AED/LKR,TRUE,currency,n/a,yfinance,AEDLKR=X
AEDHUF=X,AED/HUF,TRUE,currency,n/a,yfinance,AEDHUF=X
AUDGTQ=X,AUD/GTQ,TRUE,currency,n/a,yfinance,AUDGTQ=X
AEDEUR=X,AED/EUR,TRUE,currency,n/a,yfinance,AEDEUR=X
AUDXDR=X,AUD/XDR,TRUE,currency,n/a,yfinance,AUDXDR=X
AEDJPY=X,AED/JPY,TRUE,currency,n/a,yfinance,AEDJPY=X
AEDINR=X,AED/INR,TRUE,currency,n/a,yfinance,AEDINR=X
AUDHUF=X,AUD/HUF,TRUE,currency,n/a,yfinance,AUDHUF=X
AMD=X,USD/AMD,TRUE,currency,n/a,yfinance,AMD=X
AUDRSD=X,AUD/RSD,TRUE,currency,n/a,yfinance,AUDRSD=X
AEDMUR=X,AED/MUR,TRUE,currency,n/a,yfinance,AEDMUR=X
AUDPYG=X,AUD/PYG,TRUE,currency,n/a,yfinance,AUDPYG=X
ARSAUD=X,ARS/AUD,TRUE,currency,n/a,yfinance,ARSAUD=X
ARSJPY=X,ARS/JPY,TRUE,currency,n/a,yfinance,ARSJPY=X
AOAGBP=X,AOA/GBP,TRUE,currency,n/a,yfinance,AOAGBP=X
AUDHRK=X,AUD/HRK,TRUE,currency,n/a,yfinance,AUDHRK=X
CNY=X,USD/CNY,TRUE,currency,n/a,yfinance,CNY=X
AUDXPF=X,AUD/XPF,TRUE,currency,n/a,yfinance,AUDXPF=X
